sample.id	species	cells	species_cells	study_conf
aRG1	human	npc	human_npc	johnson
aRG2	human	npc	human_npc	johnson
aRG3	human	npc	human_npc	johnson
bRG1	human	npc	human_npc	johnson
bRG2	human	npc	human_npc	johnson
bRG3	human	npc	human_npc	johnson
Neu1	human	neu	human_neu	johnson
Neu2	human	neu	human_neu	johnson
Neu3	human	neu	human_neu	johnson
CP1	human	neu	human_neu	fietz
CP2	human	neu	human_neu	fietz
CP3	human	neu	human_neu	fietz
CP4	human	neu	human_neu	fietz
CP5	human	neu	human_neu	fietz
CP6	human	neu	human_neu	fietz
ISVZ1	human	npc	human_npc	fietz
ISVZ2	human	npc	human_npc	fietz
ISVZ3	human	npc	human_npc	fietz
ISVZ4	human	npc	human_npc	fietz
ISVZ5	human	npc	human_npc	fietz
ISVZ6	human	npc	human_npc	fietz
OSVZ1	human	npc	human_npc	fietz
OSVZ2	human	npc	human_npc	fietz
OSVZ3	human	npc	human_npc	fietz
OSVZ4	human	npc	human_npc	fietz
OSVZ5	human	npc	human_npc	fietz
OSVZ6	human	npc	human_npc	fietz
VZ1	human	npc	human_npc	fietz
VZ2	human	npc	human_npc	fietz
VZ3	human	npc	human_npc	fietz
VZ4	human	npc	human_npc	fietz
VZ5	human	npc	human_npc	fietz
VZ6	human	npc	human_npc	fietz
aRG1_Florio	human	npc	human_npc	florio
aRG2_Florio	human	npc	human_npc	florio
aRG3_Florio	human	npc	human_npc	florio
aRG4_Florio	human	npc	human_npc	florio
bRG1_Florio	human	npc	human_npc	florio
bRG2_Florio	human	npc	human_npc	florio
bRG3_Florio	human	npc	human_npc	florio
bRG4_Florio	human	npc	human_npc	florio
Neu1_Florio	human	neu	human_neu	florio
Neu2_Florio	human	neu	human_neu	florio
ENCFF465IUD	human	npc	human_npc	encode
ENCFF780IHA	human	npc	human_npc	encode
