sample.id	species	cells	species_cells	study_conf
aRG1	human	npc	human_npc	johnson
aRG2	human	npc	human_npc	johnson
aRG3	human	npc	human_npc	johnson
bRG1	human	npc	human_npc	johnson
bRG2	human	npc	human_npc	johnson
bRG3	human	npc	human_npc	johnson
Neu1	human	neu	human_neu	johnson
Neu2	human	neu	human_neu	johnson
Neu3	human	neu	human_neu	johnson
CP1	human	neu	human_neu	fietz
CP2	human	neu	human_neu	fietz
CP3	human	neu	human_neu	fietz
CP4	human	neu	human_neu	fietz
CP5	human	neu	human_neu	fietz
CP6	human	neu	human_neu	fietz
ISVZ1	human	npc	human_npc	fietz
ISVZ2	human	npc	human_npc	fietz
ISVZ3	human	npc	human_npc	fietz
ISVZ4	human	npc	human_npc	fietz
ISVZ5	human	npc	human_npc	fietz
ISVZ6	human	npc	human_npc	fietz
OSVZ1	human	npc	human_npc	fietz
OSVZ2	human	npc	human_npc	fietz
OSVZ3	human	npc	human_npc	fietz
OSVZ4	human	npc	human_npc	fietz
OSVZ5	human	npc	human_npc	fietz
OSVZ6	human	npc	human_npc	fietz
VZ1	human	npc	human_npc	fietz
VZ2	human	npc	human_npc	fietz
VZ3	human	npc	human_npc	fietz
VZ4	human	npc	human_npc	fietz
VZ5	human	npc	human_npc	fietz
VZ6	human	npc	human_npc	fietz
aRG1_Florio	human	npc	human_npc	florio
aRG2_Florio	human	npc	human_npc	florio
aRG3_Florio	human	npc	human_npc	florio
aRG4_Florio	human	npc	human_npc	florio
bRG1_Florio	human	npc	human_npc	florio
bRG2_Florio	human	npc	human_npc	florio
bRG3_Florio	human	npc	human_npc	florio
bRG4_Florio	human	npc	human_npc	florio
Neu1_Florio	human	neu	human_neu	florio
Neu2_Florio	human	neu	human_neu	florio
ENCFF465IUD	human	npc	human_npc	encode
ENCFF780IHA	human	npc	human_npc	encode
RM01_CP	rhesus	neu	rhesus_neu	luo
RM01_GZ	rhesus	npc	rhesus_npc	luo
RM02_CP	rhesus	neu	rhesus_neu	luo
RM02_GZ	rhesus	npc	rhesus_npc	luo
RM03_CP	rhesus	neu	rhesus_neu	luo
RM03_GZ	rhesus	npc	rhesus_npc	luo
NPC	rhesus	npc	rhesus_npc	zhao
NSCP1	rhesus	npc	rhesus_npc	zhao
NSCP6	rhesus	npc	rhesus_npc	zhao
RM_10C_77	rhesus	npc	rhesus_npc	micala
RM_10F_77	rhesus	npc	rhesus_npc	micala
RM_1C_42	rhesus	npc	rhesus_npc	micala
RM_1C_77	rhesus	npc	rhesus_npc	micala
RM_1F_42	rhesus	npc	rhesus_npc	micala
RM_1F_77	rhesus	npc	rhesus_npc	micala
RM_2C_42	rhesus	npc	rhesus_npc	micala
RM_2C_77	rhesus	npc	rhesus_npc	micala
RM_2F_42	rhesus	npc	rhesus_npc	micala
RM_2F_77	rhesus	npc	rhesus_npc	micala
RM_3C_42	rhesus	npc	rhesus_npc	micala
RM_3C_77	rhesus	npc	rhesus_npc	micala
RM_3F_42	rhesus	npc	rhesus_npc	micala
RM_3F_77	rhesus	npc	rhesus_npc	micala
RM_4C_42	rhesus	npc	rhesus_npc	micala
RM_4C_77	rhesus	npc	rhesus_npc	micala
RM_4F_42	rhesus	npc	rhesus_npc	micala
RM_4F_77	rhesus	npc	rhesus_npc	micala
RM_5C_42	rhesus	npc	rhesus_npc	micala
RM_5C_77	rhesus	npc	rhesus_npc	micala
RM_5F_42	rhesus	npc	rhesus_npc	micala
RM_5F_77	rhesus	npc	rhesus_npc	micala
RM_6C_42	rhesus	npc	rhesus_npc	micala
RM_6C_77	rhesus	npc	rhesus_npc	micala
RM_6F_42	rhesus	npc	rhesus_npc	micala
RM_6F_77	rhesus	npc	rhesus_npc	micala
RM_7C_42	rhesus	npc	rhesus_npc	micala
RM_7C_77	rhesus	npc	rhesus_npc	micala
RM_7F_42	rhesus	npc	rhesus_npc	micala
RM_7F_77	rhesus	npc	rhesus_npc	micala
RM_8C_42	rhesus	npc	rhesus_npc	micala
RM_8C_77	rhesus	npc	rhesus_npc	micala
RM_8F_42	rhesus	npc	rhesus_npc	micala
RM_8F_77	rhesus	npc	rhesus_npc	micala
RM_9C_42	rhesus	npc	rhesus_npc	micala
RM_9C_77	rhesus	npc	rhesus_npc	micala
RM_9F_42	rhesus	npc	rhesus_npc	micala
RM_9F_77	rhesus	npc	rhesus_npc	micala
